a,b,c,d,e,f,g,h,i,j,k,l,auc,infer_time
0,0,0,0,1,0,0,0,1,0,1,0,0.428571429,0.080463171
0,0,0,0,1,0,0,0,1,0,1,1,0.428571429,0.08463335
0,0,0,0,1,0,0,0,1,1,0,0,0.428571429,0.090543509
0,0,0,0,1,0,0,0,1,1,0,1,0.428571429,0.08445406
0,0,0,0,1,0,0,0,1,1,1,0,0.428571429,0.086611032
0,0,0,0,1,0,0,0,1,1,1,1,0.428571429,0.088248014
0,0,0,0,1,0,0,1,0,0,0,0,0.535714286,0.081674099
0,0,0,0,1,0,0,1,0,0,0,1,0.535714286,0.083921909
0,0,0,0,1,0,0,1,0,0,1,0,0.535714286,0.079225063
0,0,0,0,1,0,0,1,0,0,1,1,0.535714286,0.078042507
0,0,0,0,1,0,0,1,0,1,0,0,0.535714286,0.089991808
0,0,0,0,1,0,0,1,0,1,0,1,0.535714286,0.078862667
0,0,0,0,1,0,0,1,0,1,1,0,0.535714286,0.093318224
0,0,0,0,1,0,0,1,0,1,1,1,0.535714286,0.08046937
0,0,0,0,1,0,0,1,1,0,0,0,0.535714286,0.086312532
0,0,0,0,1,0,0,1,1,0,0,1,0.535714286,0.07849884
0,0,0,0,1,0,0,1,1,0,1,0,0.535714286,0.079777241
0,0,0,0,1,0,0,1,1,0,1,1,0.535714286,0.082360506
0,0,0,0,1,0,0,1,1,1,0,0,0.535714286,0.097820759
0,0,0,0,1,0,0,1,1,1,0,1,0.535714286,0.082573175
0,0,0,0,1,0,0,1,1,1,1,0,0.535714286,0.096006393
0,0,0,0,1,0,0,1,1,1,1,1,0.535714286,0.095021963
0,0,0,0,1,0,1,0,0,0,0,0,0.535714286,0.09144187
0,0,0,0,1,0,1,0,0,0,0,1,0.535714286,0.084241629
0,0,0,0,1,0,1,0,0,0,1,0,0.535714286,0.086341381
0,0,0,0,1,0,1,0,0,0,1,1,0.535714286,0.098954916
0,0,0,0,1,0,1,0,0,1,0,0,0.535714286,0.086763382
0,0,0,0,1,0,1,0,0,1,0,1,0.535714286,0.102364779
0,0,0,0,1,0,1,0,0,1,1,0,0.535714286,0.098415852
0,0,0,0,1,0,1,0,0,1,1,1,0.535714286,0.099120378
0,0,0,0,1,0,1,0,1,0,0,0,0.535714286,0.095500708
0,0,0,0,1,0,1,0,1,0,0,1,0.535714286,0.090274572
0,0,0,0,1,0,1,0,1,0,1,0,0.535714286,0.085921526
0,0,0,0,1,0,1,0,1,0,1,1,0.535714286,0.089081287
0,0,0,0,1,0,1,0,1,1,0,0,0.535714286,0.085983276
0,0,0,0,1,0,1,0,1,1,0,1,0.535714286,0.095729828
0,0,0,0,1,0,1,0,1,1,1,0,0.535714286,0.085937977
0,0,0,0,1,0,1,0,1,1,1,1,0.535714286,0.091173172
0,0,0,0,1,0,1,1,0,0,0,0,0.464285714,0.093195915
0,0,0,0,1,0,1,1,0,0,0,1,0.464285714,0.094372988
0,0,0,0,1,0,1,1,0,0,1,0,0.535714286,0.085628271
0,0,0,0,1,0,1,1,0,0,1,1,0.535714286,0.08671236
0,0,0,0,1,0,1,1,0,1,0,0,0.535714286,0.085490704
0,0,0,0,1,0,1,1,0,1,0,1,0.464285714,0.102298975
0,0,0,0,1,0,1,1,0,1,1,0,0.535714286,0.086007595
0,0,0,0,1,0,1,1,0,1,1,1,0.535714286,0.089955091
0,0,0,0,1,0,1,1,1,0,0,0,0.535714286,0.091447592
0,0,0,0,1,0,1,1,1,0,0,1,0.535714286,0.084537029
0,0,0,0,1,0,1,1,1,0,1,0,0.535714286,0.100001812
0,0,0,0,1,0,1,1,1,0,1,1,0.535714286,0.094564199
0,0,0,0,1,0,1,1,1,1,0,0,0.535714286,0.085548639
0,0,0,0,1,0,1,1,1,1,0,1,0.464285714,0.085787773
0,0,0,0,1,0,1,1,1,1,1,0,0.535714286,0.104110003
0,0,0,0,1,0,1,1,1,1,1,1,0.535714286,0.094218493
0,0,0,0,1,1,0,0,0,0,0,0,0.464285714,0.18266511
0,0,0,0,1,1,0,0,0,0,0,1,0.464285714,0.16910243
0,0,0,0,1,1,0,0,0,0,1,0,0.464285714,0.196578264
0,0,0,0,1,1,0,0,0,0,1,1,0.464285714,0.168579817
0,0,0,0,1,1,0,0,0,1,0,0,0.464285714,0.166814804
0,0,0,0,1,1,0,0,0,1,0,1,0.464285714,0.170736313
0,0,0,0,1,1,0,0,0,1,1,0,0.464285714,0.184093952
0,0,0,0,1,1,0,0,0,1,1,1,0.464285714,0.168888092
0,0,0,0,1,1,0,0,1,0,0,0,0.464285714,0.221408844
0,0,0,0,1,1,0,0,1,0,0,1,0.464285714,0.16774559
0,0,0,0,1,1,0,0,1,0,1,0,0.464285714,0.190534353
0,0,0,0,1,1,0,0,1,0,1,1,0.464285714,0.17696476
0,0,0,0,1,1,0,0,1,1,0,0,0.464285714,0.253844023
0,0,0,0,1,1,0,0,1,1,0,1,0.464285714,0.182367325
0,0,0,0,1,1,0,0,1,1,1,0,0.464285714,0.199576855
0,0,0,0,1,1,0,0,1,1,1,1,0.464285714,0.229000807
0,0,0,0,1,1,0,1,0,0,0,0,0.464285714,0.169148445
0,0,0,0,1,1,0,1,0,0,0,1,0.464285714,0.185541153
0,0,0,0,1,1,0,1,0,0,1,0,0.464285714,0.167509794
0,0,0,0,1,1,0,1,0,0,1,1,0.464285714,0.166234016
0,0,0,0,1,1,0,1,0,1,0,0,0.464285714,0.169058323
0,0,0,0,1,1,0,1,0,1,0,1,0.464285714,0.180691719
